"","Response","Predictor","Estimate","Std.Error","DF","Crit.Value","P.Value","Std.Estimate",""
"1","observed","pc1",9.5634,"2.6861",31,3.5603,0.0012,0.4183,"**"
"2","observed","pH",-25.1785,"7.1672",31,-3.513,0.0014,-0.4793,"**"
"3","observed","A_phosphorus_ppm_105",0.2977,"0.1017",31,2.9267,0.0064,0.3762,"**"
"4","observed","NH4_mgL_105",-0.8608,"0.9423",31,-0.9135,0.368,-0.1366,""
"5","observed","MBC_mg_kg_105",-8e-04,"0.0102",31,-0.083,0.9344,-0.0167,""
"6","observed","K_g_kg",11.0849,"5.7143",31,1.9398,0.0615,0.3829,""
"7","observed","Mg_g_kg",-6.5055,"3.9565",31,-1.6442,0.1102,-0.3006,""
"8","observed","Al_g_kg",-0.8932,"0.804",31,-1.1109,0.2752,-0.1628,""
"9","pH","pc1",-0.0602,"0.0476",38,-1.2638,0.214,-0.1383,""
"10","MBC_mg_kg_105","pc1",99.8173,"30.5198",38,3.2706,0.0023,0.2224,"**"
"11","~~MBC_mg_kg_105","~~NH4_mgL_105",0.3216,"-",40,2.0663,0.0229,0.3216,"*"
"12","~~pH","~~K_g_kg",0.3595,"-",40,2.3434,0.0123,0.3595,"*"
